customer_id,name,email,phone,region,total_sales
973a83e2,Sara Gonzalez,david96@ferguson.com,001-285-781-6911,Florida,649.7
a483aa0f,John Ramirez,gallaghersamantha@hotmail.com,001-080-211-8665,New York,685.1
408ea9a8,Susan Brown,milesvincent@hotmail.com,237-049-8394x9785,New York,475.36
71ac6159,Richard Diaz,dstewart@yahoo.com,001-265-970-4584x69914,Texas,543.13
4a0565bf,Amy Williams,seanholmes@guerra-goodman.com,+1-076-883-5418,New York,822.5
4d8ae38e,Keith Campos,william33@moreno-anthony.com,744-739-3099,Washington,111.18
92de11d7,Lindsay Black,gina95@hotmail.com,085.525.8002,Washington,131.64
35f8956e,Amy Walker,hwarner@ross-wiley.net,9165600977,Florida,752.2
b56b708f,Scott Reid,richard84@roberts.com,6283193403,Washington,608.54
d45588b4,Valerie Howell,tamara30@rodriguez-matthews.com,+1-214-333-4354x89434,California,198.03
bebdb595,Lynn Hall,christopher60@jones-daniels.com,+1-884-970-7145x268,New York,330.82
ea75b93a,Timothy Watson,haynesbrian@smith.com,(110)528-4733x4961,New York,677.79
a04de986,David Valencia,joshualester@gonzalez-patterson.org,820-351-2832,Texas,399.37
e1ea864a,Ryan Arnold,drew24@campbell.com,001-716-753-8019x0531,New York,919.24
e39ce5be,James Thompson,vasquezbrian@gmail.com,608-277-5554x37159,California,480.72
61d7232b,Jackson Garcia DDS,matthew30@curry-roberts.org,(890)358-9612x67786,California,252.93
79da4056,Ryan Rivera,dorseyjason@hotmail.com,360.073.0443,New York,966.92
b3520356,Mrs. Laurie Davis,perezandre@jones.com,004.879.7278,Florida,523.25
cffcfb7c,Eric Harvey,sosajessica@hotmail.com,358-182-8849x8770,Florida,834.47
37f7acdb,Jeffrey Gallagher,lopezsamantha@cochran.info,(338)991-1126x56250,Washington,111.04
b0bd6dde,Ronald Young,stonemichael@gmail.com,536.168.8746x31537,New York,463.84
8c634eba,Robert Boyle,rhonda14@gmail.com,017.217.4912x04639,Florida,594.82
fa667398,Douglas Johnson,osbornejoseph@gmail.com,(441)640-9897,Texas,172.4
1d0b97b5,Brian Stanton,dustin36@gmail.com,8726101532,Washington,75.54
5cb3d061,Adam Manning,peter68@wilkerson.info,7093432340,California,873.27
b75cecf5,Michael Henry Jr.,scottjennifer@collins.info,+1-650-719-1918x090,Florida,645.67
b559b2a3,James Williams,christopher81@yahoo.com,(976)633-5246,New York,51.75
650d02ae,Brent Horne,yschmidt@yahoo.com,115.090.4997x8736,New York,151.24
26731bce,Randall Baldwin,zlambert@kemp.info,737-492-1913,California,193.52
8faffbf8,Joseph Hodges,vfischer@gmail.com,001-545-317-4156x48472,New York,346.41
ccf5a03c,David Morgan,qwalker@young.info,152-501-8692x928,California,218.73
1b7437a7,Nathan Jefferson,khancock@lewis-solis.com,001-961-703-5350,Florida,831.61
c79caa8a,Sara Clark,melaniebird@hodge.com,(161)860-1335x72296,Texas,420.1
e3a746e8,Sean Munoz,ehoward@yahoo.com,(902)157-1222,California,376.64
11a87965,Alyssa Marshall,vwalton@gmail.com,001-066-052-1655,California,199.39
635cf3fb,George Fuller,carrie19@yahoo.com,041.415.1460x051,Texas,196.94
c7957c15,James Hughes,thompsonjennifer@yahoo.com,(339)960-5269,Texas,360.9
669b2cdb,Amber Pope,masoneric@hotmail.com,1772488694,New York,286.83
aac76ad6,Holly Walker,daniel47@wright.com,(243)873-9796,California,455.3
b99cf2c9,Angie Owen,omurray@stewart.info,853-064-9849,Washington,290.45
1a39128b,Diane Hill,alyssa51@jones.info,872.929.7157x05131,California,466.17
3baa66df,Mary Willis,irobinson@hotmail.com,001-149-288-8157x96975,Washington,957.13
68cbf4b4,Billy Blevins,davisjesse@gmail.com,001-477-248-9868x364,California,775.45
e2e469da,Matthew Barnes,johnsonandrea@yahoo.com,(153)647-3871x54957,Texas,58.1
4de0f8f9,Brian Richmond,parkstephanie@gmail.com,011.058.1776x7292,Texas,667.39
45cfa23c,Norman Thompson,willisdawn@hotmail.com,297.092.5585x307,California,761.48
ffb3817c,Rebecca Freeman,natashablake@gardner.com,(872)219-2600x56392,California,790.71
f2c10a9f,Lauren Mills,wlawrence@macias-hicks.biz,(442)296-3929x23131,Florida,891.26
578537bd,Kimberly Nelson,joanna69@hall.com,(740)501-5669,California,975.52
c633a1cc,Vanessa Ryan,stephanie77@gmail.com,001-175-155-9919x1859,Texas,981.97
a2e9dd50,Cynthia Anderson,zbriggs@hotmail.com,656.136.2165,Texas,866.14
0a7a77dc,Aaron Wiley,cameron15@hotmail.com,001-677-340-8275x95438,Texas,601.17
